preusuel,decade,sexe,nombre,rank,sex_label
MARIE,1920,2,322472,1,Female
MARIE,1930,2,247721,1,Female
MARIE,1940,2,265453,1,Female
MARIE,1950,2,216713,1,Female
MARIE,1960,2,107800,8,Female
MARIE,1970,2,53908,14,Female
MARIE,1980,2,74477,6,Female
MARIE,1990,2,69773,2,Female
MARIE,2000,2,39849,10,Female
MARINE,1990,2,64155,4,Female
MARION,1980,2,40806,16,Female
MARION,1990,2,51665,10,Female
MARTHE,1900,2,42390,10,Female
MARTHE,1910,2,30888,19,Female
MARTINE,1940,2,38518,20,Female
MARTINE,1950,2,191466,2,Female
MARTINE,1960,2,74120,12,Female
MATHIEU,1980,1,58109,12,Male
MATHIEU,1990,1,38925,20,Male
MATHILDE,1990,2,44340,14,Female
MATHILDE,2000,2,31746,15,Female
MATHIS,2000,1,47484,8,Male
MATHIS,2010,1,29220,18,Male
MAURICE,1900,1,54199,11,Male
MAURICE,1910,1,59502,11,Male
MAURICE,1920,1,88669,11,Male
MAURICE,1930,1,64052,14,Male
MAXIME,1990,1,78007,5,Male
MAXIME,2000,1,49537,7,Male
MAËL,2010,1,26740,20,Male
MAËL,2020,1,10309,7,Male
MIA,2020,2,7049,9,Female
MICHEL,1920,1,53394,17,Male
MICHEL,1930,1,152294,2,Male
MICHEL,1940,1,241019,2,Male
MICHEL,1950,1,215754,2,Male
MICHEL,1960,1,95502,13,Male
MICHELLE,1940,2,43878,15,Female
MICHÈLE,1940,2,71862,9,Female
MICHÈLE,1950,2,62568,15,Female
MICKAEL,1980,1,49644,17,Male
MOHAMED,2020,1,6651,20,Male
MONIQUE,1930,2,112132,2,Female
MONIQUE,1940,2,139586,2,Female
MONIQUE,1950,2,92931,7,Female
MORGANE,1990,2,34295,18,Female
MÉLANIE,1980,2,51990,12,Female
MÉLANIE,1990,2,44417,13,Female
NATHALIE,1960,2,197627,2,Female
NATHALIE,1970,2,139689,2,Female
NATHAN,2000,1,51480,6,Male
NATHAN,2010,1,43732,4,Male
NICOLAS,1970,1,95688,8,Male
NICOLAS,1980,1,146101,1,Male
NICOLAS,1990,1,83442,4,Male
NICOLE,1930,2,52199,12,Female
NICOLE,1940,2,120119,3,Female
NICOLE,1950,2,82422,10,Female
NOAH,2010,1,30318,16,Male
NOAH,2020,1,9514,9,Male
NOLAN,2010,1,31942,14,Male
OCÉANE,2000,2,41720,9,Female
ODETTE,1910,2,31484,18,Female
ODETTE,1920,2,70752,10,Female
ODETTE,1930,2,46499,17,Female
OLIVIER,1960,1,81612,17,Male
OLIVIER,1970,1,115315,7,Male
PASCAL,1950,1,62846,18,Male
PASCAL,1960,1,173618,3,Male
PASCAL,1970,1,48346,19,Male
PASCALE,1960,2,61627,16,Female
PATRICIA,1950,2,65920,13,Female
PATRICIA,1960,2,97702,10,Female
PATRICK,1950,1,183978,4,Male
PATRICK,1960,1,135746,5,Male
PAUL,1900,1,59198,10,Male
PAUL,1910,1,56072,12,Male
PAUL,1920,1,74382,14,Male
PAUL,1930,1,53362,20,Male
PAUL,2000,1,36230,17,Male
PAUL,2010,1,32139,13,Male
PAUL,2020,1,6939,16,Male
PAULETTE,1910,2,31861,17,Female
PAULETTE,1920,2,76809,7,Female
PAULETTE,1930,2,57807,8,Female
PAULINE,1990,2,56157,7,Female
PAULINE,2000,2,27828,20,Female
PHILIPPE,1950,1,156303,6,Male
PHILIPPE,1960,1,229585,1,Male
PHILIPPE,1970,1,71585,11,Male
PIERRE,1900,1,94202,3,Male
PIERRE,1910,1,95569,3,Male
PIERRE,1920,1,158593,3,Male
PIERRE,1930,1,142563,4,Male
PIERRE,1940,1,103056,10,Male
PIERRE,1950,1,81381,14,Male
PIERRE,1990,1,48932,16,Male
QUENTIN,1990,1,62792,7,Male
QUENTIN,2000,1,39715,15,Male
RAPHAËL,2010,1,38178,11,Male
RAPHAËL,2020,1,11731,3,Male
RAYMOND,1910,1,46653,14,Male
RAYMOND,1920,1,73388,15,Male
RAYMOND,1930,1,55164,19,Male
RAYMONDE,1910,2,33456,15,Female
RAYMONDE,1920,2,48956,18,Female
RENÉ,1900,1,69312,8,Male
RENÉ,1910,1,81305,6,Male
RENÉ,1920,1,139732,4,Male
RENÉ,1930,1,104098,7,Male
RENÉ,1940,1,66333,14,Male
RENÉE,1900,2,34554,15,Female
RENÉE,1910,2,41637,10,Female
RENÉE,1920,2,64295,12,Female
RENÉE,1930,2,43432,20,Female
ROBERT,1900,1,40224,16,Male
ROBERT,1910,1,55020,13,Male
ROBERT,1920,1,110267,7,Male
ROBERT,1930,1,87070,9,Male
ROBERT,1940,1,65210,15,Male
ROGER,1900,1,39713,17,Male
ROGER,1910,1,62428,10,Male
ROGER,1920,1,127788,5,Male
ROGER,1930,1,95913,8,Male
ROGER,1940,1,54198,17,Male
ROMAIN,1980,1,70541,7,Male
ROMAIN,1990,1,60149,9,Male
ROMAIN,2000,1,34610,20,Male
ROMANE,2010,2,21513,20,Female
ROMY,2020,2,7016,10,Female
ROSE,2020,2,8034,6,Female
SABRINA,1980,2,47584,13,Female
SACHA,2010,1,29318,17,Male
SACHA,2020,1,7771,14,Male
SANDRA,1970,2,52401,17,Female
SANDRINE,1960,2,53552,20,Female
SANDRINE,1970,2,146386,1,Female
SARAH,1990,2,50407,11,Female
SARAH,2000,2,46904,7,Female
SARAH,2010,2,26995,11,Female
SERGE,1950,1,71948,16,Male
SEVERINE,1970,2,56585,13,Female
SIMONE,1910,2,33528,14,Female
SIMONE,1920,2,70760,9,Female
SIMONE,1930,2,55368,9,Female
SOPHIE,1970,2,86315,8,Female
SOPHIE,1980,2,54989,11,Female
STÉPHANE,1960,1,83320,15,Male
STÉPHANE,1970,1,159094,3,Male
STÉPHANIE,1970,2,135803,3,Female
STÉPHANIE,1980,2,71538,7,Female
SUZANNE,1900,2,61722,8,Female
SUZANNE,1910,2,59322,6,Female
SUZANNE,1920,2,78348,5,Female
SUZANNE,1930,2,44820,19,Female
SYLVIE,1950,2,72961,12,Female
SYLVIE,1960,2,204770,1,Female
SYLVIE,1970,2,64536,11,Female
SÉBASTIEN,1970,1,152102,4,Male
SÉBASTIEN,1980,1,102080,3,Male
THIERRY,1960,1,172080,4,Male
THIERRY,1970,1,53397,16,Male
THOMAS,1980,1,68355,8,Male
THOMAS,1990,1,93166,1,Male
THOMAS,2000,1,65611,3,Male
THÉO,2000,1,63015,4,Male
THÉRÈSE,1930,2,46202,18,Female
TOM,2000,1,40678,13,Male
TOM,2010,1,31353,15,Male
VALENTIN,1990,1,46669,17,Male
VALÉRIE,1960,2,133831,7,Female
VALÉRIE,1970,2,95997,6,Female
VANESSA,1980,2,47452,14,Female
VINCENT,1970,1,57616,14,Male
VINCENT,1980,1,62040,10,Male
VINCENT,1990,1,42502,19,Male
VIRGINIE,1970,2,79132,10,Female
VIRGINIE,1980,2,58103,10,Female
VÉRONIQUE,1960,2,134231,6,Female
VÉRONIQUE,1970,2,53711,15,Female
YVES,1940,1,46655,19,Male
YVETTE,1920,2,57896,16,Female
YVETTE,1930,2,67961,5,Female
YVONNE,1900,2,65414,6,Female
YVONNE,1910,2,60607,5,Female
YVONNE,1920,2,71452,8,Female
ZOÉ,2010,2,24525,13,Female
