preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,54,2000,5,71696,0.7
ALAIN,55,1920,7,34036,2.06
ALAIN,55,1930,121,31592,38.3
ALAIN,55,1940,801,32025,250.12
ALAIN,55,1950,1109,41141,269.56
ALAIN,55,1960,513,35526,144.4
ALAIN,55,1970,80,24075,33.23
ALAIN,55,1980,18,18825,9.56
ALAIN,56,1900,20,70163,2.85
ALAIN,56,1910,38,70023,5.43
ALAIN,56,1920,122,96940,12.59
ALAIN,56,1930,378,90817,41.62
ALAIN,56,1940,1521,88179,172.49
ALAIN,56,1950,2235,98347,227.26
ALAIN,56,1960,1173,91777,127.81
ALAIN,56,1970,206,82757,24.89
ALAIN,56,1980,33,73967,4.46
ALAIN,57,1920,13,108041,1.2
ALAIN,57,1930,227,111387,20.38
ALAIN,57,1940,1118,102126,109.47
ALAIN,57,1950,3126,171761,182.0
ALAIN,57,1960,2668,188508,141.53
ALAIN,57,1970,709,147194,48.17
ALAIN,57,1980,202,140179,14.41
ALAIN,57,1990,58,109066,5.32
ALAIN,57,2000,7,94896,0.74
ALAIN,57,2010,3,78223,0.38
ALAIN,58,1920,7,32686,2.14
ALAIN,58,1930,98,29552,33.16
ALAIN,58,1940,861,34918,246.58
ALAIN,58,1950,1235,39848,309.93
ALAIN,58,1960,529,36456,145.11
ALAIN,58,1970,74,29958,24.7
ALAIN,58,1980,8,24276,3.3
ALAIN,59,1900,3,231745,0.13
ALAIN,59,1920,85,317569,2.68
ALAIN,59,1930,761,299159,25.44
ALAIN,59,1940,5921,325253,182.04
ALAIN,59,1950,9246,456418,202.58
ALAIN,59,1960,5370,465942,115.25
ALAIN,59,1970,1109,443472,25.01
ALAIN,59,1980,321,423963,7.57
ALAIN,59,1990,83,352629,2.35
ALAIN,59,2000,36,344470,1.05
ALAIN,59,2010,3,308468,0.1
ALAIN,60,1920,26,61767,4.21
ALAIN,60,1930,259,59773,43.33
ALAIN,60,1940,1692,68018,248.76
ALAIN,60,1950,2159,87592,246.48
ALAIN,60,1960,1126,88732,126.9
ALAIN,60,1970,237,80213,29.55
ALAIN,60,1980,65,78239,8.31
ALAIN,60,1990,9,74646,1.21
ALAIN,60,2000,7,72125,0.97
ALAIN,61,1920,15,43466,3.45
ALAIN,61,1930,90,42909,20.97
ALAIN,61,1940,849,47683,178.05
ALAIN,61,1950,1540,55094,279.52
ALAIN,61,1960,792,50462,156.95
ALAIN,61,1970,134,42042,31.87
ALAIN,61,1980,12,32334,3.71
ALAIN,61,1990,3,26439,1.13
ALAIN,62,1910,6,128014,0.47
ALAIN,62,1920,54,212662,2.54
ALAIN,62,1930,390,207288,18.81
ALAIN,62,1940,3704,224918,164.68
ALAIN,62,1950,6493,298366,217.62
ALAIN,62,1960,3351,261264,128.26
ALAIN,62,1970,658,218107,30.17
ALAIN,62,1980,188,198003,9.49
ALAIN,62,1990,53,163990,3.23
ALAIN,62,2000,21,154721,1.36
ALAIN,63,1920,21,63807,3.29
ALAIN,63,1930,169,56078,30.14
ALAIN,63,1940,1670,69422,240.56
ALAIN,63,1950,2111,75818,278.43
ALAIN,63,1960,1008,76147,132.38
ALAIN,63,1970,166,72883,22.78
ALAIN,63,1980,36,63354,5.68
ALAIN,63,1990,6,52644,1.14
ALAIN,64,1920,15,62392,2.4
ALAIN,64,1930,71,57752,12.29
ALAIN,64,1940,766,61390,124.78
ALAIN,64,1950,1466,71050,206.33
ALAIN,64,1960,1318,79175,166.47
ALAIN,64,1970,367,68175,53.83
ALAIN,64,1980,100,63170,15.83
ALAIN,64,1990,17,58962,2.88
ALAIN,64,2000,4,59533,0.67
ALAIN,65,1930,32,22468,14.24
